ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
105,Lit_review,Cypermethrin,Pyrethroid,immunotoxicity determined via gene expression changes using qRT-PCR,Direct immunotoxicity determined via gene expression changes using qRT-PCR for 25 classifier genes in Jurkat T cells,-,-,-,-,"ABCA1, ABCG1, AK4, ALDH8A1, ARRDC3, BZRAP1, CCNG2, CEBPB, etc.",-,"ABCA1: ATP Binding Cassette Subfamily A Member 1

ABCG1: ATP Binding Cassette Subfamily G Member 1

AK4: Adenylate Kinase 4

ALDH8A1: Aldehyde Dehydrogenase 8 Family Member A1

ARRDC3: Arrestin Domain Containing 3

BZRAP1: Benzodiazepine Receptor Associated Protein 1

CCNG2: Cyclin G2

CEBPB: CCAAT Enhancer Binding Protein Beta",-,Upregulation in protein metabolism and cholesterol biosynthesis/transport genes; changes in immune regulation and transcription,Active,-,-,-,-,-,-,-,-,-,-,-,"
1000 μM",-,-,Gene expression biomarker assay for immunotoxicity (Fluidigm qRT-PCR); ATPlite cell viability assay,"Jurkat cells exposed 6h to subcytotoxic concentrations, RNA isolated, qRT-PCR for gene markers; viability by ATPlite",Immunotoxicity,-,-,-,human,Jurkat T cells,cell line,"
1000 μM",Significant gene expression changes; protein metabolism and cholesterol biosynthesis/transport genes affected,-,-,-,-,-,"Protein metabolism, cholesterol biosynthesis/transport, immune regulation, stress response",Quantitative Real Time PCR (Fluidigm platform); ATPlite luminescence (ATP-based viability),blood,-,-,10.1002/jat.3079,-,-,-
106,Lit_review,Cypermethrin,Pyrethroid,"Molecular docking binding affinity to adaptive immune T-cell (CD4, CD8) and B-cell receptors (CD28, CD45)","
Cypermethrin ligand docking to human immune receptors (CD28, CD4, CD8, CD45)",-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,In silico molecular docking and toxicity prediction (ProTOX tool),Computational docking of cypermethrin to immune receptors; toxicity class prediction via ProTOX,Immunotoxicity prediction,-,-,-,human,-,-,-,Cypermethrin showed strong binding interaction especially with CD28 receptor; probable toxicity targets: AOFA and PGH1,-,"Immune cell receptor proteins (CD28, CD4, CD8, CD45); enzyme targets AOFA (Amine oxidase flavin-containing A), PGH1",Immune receptor proteins; enzymes involved in oxidative metabolism,T-cell co-stimulatory receptor (CD28); amine oxidase; prostaglandin synthase,Immune receptor family; flavin-containing amine oxidases; cyclooxygenases,"Immune regulation, oxidative enzymatic activity, inflammation",Computational molecular docking (Maestro 9.3); in silico rodent LD50 prediction (ProTOX tool),inmune cells,-,-,10.4103/pm.pm_62_17,-,-,-
107,Lit_review,Cypermethrin,Pyrethroid,"
Pesticide exposure effects on fish cell lines RTG-2 (rainbow trout gonadal cells) and RTL-W1 (rainbow trout liver cells)","Cytotoxicity endpoints by EROD enzymatic activity, neutral red (NR) uptake assay, β-Galactosidase activity, and FRAME Kenacid Blue protein (KBP) assay",-,-,-,-,-,-,-,Inhibition or induction of cytochrome P450 activity affecting xenobiotic metabolism and cell viability,"
Induction or inhibition of EROD (CYP1A) enzyme activity, lysosomal viability (neutral red), protein content changes",Inactive,-,-,-,-,-,-,-,-,-,-,-,"
18 mg/L ",-,-,"EROD assay, Neutral Red uptake assay, β-Gal assay, FRAME KBP assay",Enzymatic activity and cytotoxicity tests after 24 h exposure to cypermethrin in fish cells,In vitro cytotoxicity and enzyme activity measurement assay,-,-,-,trout,RTG-2 + RTL-W1,cell lines, up to 18 mg/L,"
No effect on EROD, β-Gal activity, and NR uptake was observed at tested concentrations",-,Cytochrome P450 family (implicated in EROD activity),-,-,-,"Xenobiotic metabolism, lysosomal integrity, protein content","
Fluorometric enzyme activity (EROD), spectroscopy (neutral red, KBP), β-Gal enzymatic fluorescence",liver + gonadal ,-,-,https://doi.org/10.1016/j.envpol.2004.11.001,-,-,-
108,Lit_review,Cypermethrin,Pyrethroid,"
Cypermethrin exposure on goat and dog spermatozoa","Cytotoxicity and motility parameters in spermatozoa measured via MTT (mitochondrial activity/viability), Neutral Red (lysosomal activity), and CASA (motility)","MTT, Neutral Red, and CASA","MTT (mitochondrial activity/viability), Neutral Red (lysosomal activity), and CASA (motility)",-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTT cytotoxicity assay; Neutral Red viability assay; Computer-assisted sperm analysis (CASA) for sperm motility,"In vitro exposure of spermatozoa to cypermethrin, with measurement of mitochondrial activity, lysosomal function, and motility parameters","
Toxicity and motility functional assay",-,1000,μg/μL,dog + goat ,Freshly collected spermatozoa,primary cells,"
Serial dilution from 166.67 μg/μL stock solution down to low μg/mL","
Significant cytotoxicity with dose-dependent decreases in viability; reduced sperm motility and hyperactivity parameters, especially in buck sperm",-,-,-,-,-,"Mitochondrial function, lysosomal integrity, sperm motility",MTT colorimetric assay (mitochondrial viability); Neutral Red spectrophotometric assay (lysosomal viability); CASA computerized motility analysis,spermatozoa,-,-,10.9775/kvfd.2016.16501,-,-,-
109,Lit_review,Cypermethrin,Pyrethroid,"Growth inhibition, cell biovolume change, and ultrastructural alterations assessed in the green microalga Selenastrum capricornutum","
Exposure of Selenastrum capricornutum microalgae to cypermethrin",-,-,-,-,-,-,-,-,"
Reduced algal population growth rate; increased cell size; ultrastructural damages including thylakoid and mitochondria disruption, lipid accumulation, and starch granule increase",Active,-,-,-,"for growth inhibition: 31.31 mg/L (24 h), 16.36 mg/L (48 h), 12.46 mg/L (72 h), 12.37 mg/L (96 h)",-,-,-,-,-,-,-,100 mg/L,-,-,Microalgal growth inhibition assay; electron microscopy ultrastructural analysis,Population growth and cell volume/count measurements over 96 h exposure; transmission electron microscopy of cellular ultrastructure,"
Ecotoxicological growth inhibition and morphological toxicity assay",-,-,-,"
Selenastrum capricornutum","
Wild-type microalgal cultures",-,3.12 - 100 mg/L (series of half-serial dilutions),"Dose-dependent growth inhibition, increased biovolume, ultrastructural damage (damaged chloroplasts, mitochondria, lipid accumulation)",-,Photosynthetic and metabolic organelles within algal cells,"Population counts (microscopy), cell volume measurement, transmission electron microscopy",-,-,"Photosynthesis, energy production, cell growth and division","Population counts (microscopy), cell volume measurement, transmission electron microscopy",microalgal cells,-,-,10.1590/0001-3765202120200233,-,-,-
110,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
111,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
112,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
113,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Wang et al. 2015; 26125603; 10.1016/j.etap.2015.06.008,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
114,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,LEL= 10000 nM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,LEL= 10000 nM,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
115,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,LEL= 10000 nM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,LEL= 10000 nM,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Wang et al. 2015; 26125603; 10.1016/j.etap.2015.06.008,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
116,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,LEL= 10000 nM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,LEL= 10000 nM,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
117,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
118,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
119,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
120,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
121,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
122,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
123,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
124,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
125,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,100 nM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,100 nM,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
126,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
127,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
128,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
129,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
130,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,RIC20,-,-,-,-,-,-,-,-,-,RIC20 (nM)= 420000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,RIC20 (nM)= 420000,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
131,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,RIC20,-,-,-,-,-,-,-,-,-,RIC20 (nM)=1640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,RIC20 (nM)=1640,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
132,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
133,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
134,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
135,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
136,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
137,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Wang et al. 2015; 26125603; 10.1016/j.etap.2015.06.008,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
138,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
139,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
140,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
141,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
142,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
143,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
144,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
145,ICE,Cypermethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
146,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
147,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
148,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kjeldsen et al. 2013; 23871939; 10.1016/j.taap.2013.06.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
149,ICE,Cypermethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Hu et al. 2012; 22172556; 10.1016/j.tox.2011.11.019,https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998
